SYMBOL	G1	G2	G3
PDRG1	-14.636052523638	-16.7656314857174	-32.1609963536196
PDXP	-13.9473645210269	-17.1659245234221	-18.0405016911289
PDZD8	-9.50788833504314	-16.571261764693	-26.243397876695
PGCP	-21.3319343500905	-22.5142446943353	-42.8133021433603
PIGB	-0.287376612763473	-10.4908966167086	-26.8828275714065
PITPNA	-12.9452520963891	-16.0450459942543	-22.3803227877511
PITPNM2	21.9514989381138	52.3456220490308	80.8591238534511
PITX3	38.5786282407853	71.9001680647096	66.1697633085138
PKMYT1	31.0348071252363	49.1273592910674	54.0494411340429
PLA2G2A	-40.2776029283608	-22.1292268769794	-9.66367628992102
PLCG1	-17.8064235988158	-17.4599106239568	-21.7749763391004
POLR2D	-28.8545310051412	-41.6289057426108	-74.7501310034283
POLR3C	-10.0690786517742	-21.5747539838625	-22.6446335267734
PPP2R5A	-29.9817701209845	-33.3392007803084	-54.447019952229
PPP3R1	-57.0994919249327	-27.4843982000871	-20.6861950242059
PRKAB2	-18.701529389209	-26.5978429009938	-28.2841066357072
PRPF31	-7.43445898173077	-15.2376441562982	-26.861741033067
PRR13	-2.66972443938862	-1.97665897548248	-1.64697390689037
PRR14	14.1737835131759	18.4357424593621	39.9892646517291
PRR15	17.7051409973162	10.0934446451502	7.80625517671186
PRR20E	-43.6280893607668	-35.9576028547106	-24.6814993848207
PRR23C	12.8813197618975	30.758945838103	48.946894318257
PSMB8	-60.1880135638358	-37.7262357271543	-30.1953371380285
PTBP2	-10.7003004592916	-15.8641166845815	-25.7291241907125
PYGO1	19.4562702447923	27.9118170714518	30.562917736331
RAB22A	26.1326501869748	16.9519844664981	43.4909816365505
RAB33B	-34.5858448340417	-24.005705726482	-13.3949048525492
RAB9P1	-20.3909663413768	-12.4457869732929	-9.35934859132271
RABIF	-21.513188254232	-32.5120200498367	-35.2678877617691
RALGAPB	-8.872753711428	-12.9367353603033	-22.8008188915743
RANGAP1	-17.3038970379105	-16.0346279403658	-12.3102929597229
RBAK	30.3506011185076	25.0307348591935	44.0081666951801
RBM47	-33.6069593695254	-22.7453898353534	-49.3767707322866
RCCD1	-16.255984891282	-20.3830231217521	-27.2209664242088
REST	-19.9534310161357	-18.7153262771079	-14.8176635853977
RFWD2	-33.1852566957997	-18.8677028181196	-10.9610497180768
RGS22	39.9089175801322	70.3495662589631	86.2235554386892
RHBDF1	-16.6270550754536	-11.7703259737197	-8.96524490151788
RILP	2.20780327391406	6.68244853006828	19.5712709586724
RIMS3	13.5955981291853	47.5788019432087	49.853826860566
RNF138	-41.8066884540582	-25.8742538362721	-22.7374760901999
RNF215	-17.071954633208	-16.7213940491279	-23.2448688050731
RNF34	-18.9346876714938	-19.5712681326554	-22.923160412979
RPL18AP3	-29.6574660975915	-17.9467979691596	-5.81145500879977
RPL27	-19.2946801925039	-7.94768660668958	-7.07998190339237
RPL41	-9.32484296543136	-10.4482395633955	-13.8912872785846
RPL7	-26.9474200888715	-25.3621269682882	-23.3373804354798
RPN1	-15.5141809232234	-20.5472602136482	-21.9970644016986
RPP38	-13.3654344158261	-12.7425948943949	-15.8757849998504
RPRM	-37.7211080155627	-33.1895954514288	-15.6861499718669
RPTOR	-6.74812622358932	-17.9598188645497	-27.8863693682979
RRBP1	-7.74248297694039	-11.8424380273599	-24.7790577493935
RTBDN	-10.2102355218713	-9.96969994304228	-30.3745702737668
RUNX3	15.6755499659861	27.7754453271412	26.5221321630338
S100A2	-33.3775185559694	-46.5390965646192	-58.2051185941309
SCG5	28.7613989468801	57.6143947636941	66.7246365988889
SEPT8	-18.1003536762685	-16.4741478515345	-52.7058087493163
SERINC5	-10.0522328953679	-12.3660213380071	-13.2406631830964
SERPINE2	-29.6611918677107	-21.9981191447367	-15.2717125217448
SFRS3	-24.0903691379769	-24.4745843847727	-28.6149101285466
SGCE	-52.8006560740841	-16.7254966408294	-9.34921653140615
SGK196	-38.783702985529	-26.9838814046479	-16.2799084966361
SGPL1	-8.7735829039272	-8.84837032130887	-22.9482501281092
SIRT1	-9.27991846856923	-11.9557199576304	-19.5966651859207
SIX3	24.3400117616119	21.4565490079727	32.7805549413888
SLC25A46	13.693294150073	13.660361691769	29.086792571891
SLC2A8	-32.8054346336432	-23.7433861798247	-49.2078868432232
SLC38A2	-20.6849106955777	-17.7364811818903	-14.5397007832694
SLC39A3	-14.2974528892761	-17.4080475802812	-14.4121341104316
SLC44A5	-42.6429463744959	-33.4178835543063	-19.3296369904623
SLC6A6	-48.3722435865264	-41.6834148034829	-19.5414323361951
SMCR7	-52.2152139613495	-22.7856146548678	-26.4189605124128
SMPD3	-17.8816603107839	-2.15572972880132	-0.767450315066885
