 G2 G3 sum
TCIRG1 0.0019251885719163391 0.0019251885719162192 0.003850377143832558
STAG3 0.0019234531419180638 0.0019234531419181466 0.0038469062838362104
CRTAC1 0.0019230162334331429 0.001923016233433186 0.0038460324668663287
FREM1 0.00191846136366627 0.0019184613636661608 0.003836922727332431
DEGS1 0.0019156956951882642 0.001915695695188233 0.003831391390376497
ARAP1 0.0019144219872679047 0.0019144219872680116 0.0038288439745359166
SPRY4 0.001914420336335268 0.0019144203363353155 0.0038288406726705833
TBXAS1 0.0019105465842561553 0.0019105465842561135 0.0038210931685122686
C20orf30 0.0019095093559050598 0.0019095093559051504 0.00381901871181021
VASH2 0.0019055137842982051 0.001905513784298331 0.003811027568596536
MTMR14 0.001900539067239694 0.0019005390672396528 0.0038010781344793468
UGT2B15 0.0018975499136309772 0.001897549913631024 0.0037950998272620012
C13orf33 0.0018851699069223828 0.001885169906922398 0.003770339813844781
ZNF227 0.001878648098883198 0.001878648098883142 0.00375729619776634
CCDC144NL 0.0018782921189305045 0.0018782921189304338 0.0037565842378609383
NUS1 0.0018683075109587298 0.001868307510958791 0.0037366150219175207
IRF1 0.0018681525176900107 0.00186815251769 0.0037363050353800106
RALGAPB 0.0018666628774156341 0.0018666628774156562 0.0037333257548312904
NRCAM 0.001866039059290895 0.0018660390592908076 0.0037320781185817024
MEF2C 0.0018642731914230847 0.0018642731914230576 0.003728546382846142
SFRS18 0.001858059562431134 0.0018580595624311455 0.0037161191248622797
BTAF1 0.0018513173933144438 0.0018513173933144902 0.003702634786628934
GPR19 0.0018446930397978422 0.0018446930397978262 0.0036893860795956684
LIME1 0.0018439081895600348 0.0018439081895600437 0.0036878163791200782
RHOT2 0.0018369171155161897 0.0018369171155162133 0.0036738342310324032
UBASH3B 0.0018292814665256216 0.0018292814665255123 0.003658562933051134
ZNF862 0.001828908301052293 0.0018289083010523028 0.0036578166021045957
SNX16 0.0018288566979077626 0.0018288566979077503 0.003657713395815513
FLJ40504 0.0018263164213781103 0.0018263164213780363 0.0036526328427561464
BCL3 0.001825046788123353 0.0018250467881234145 0.0036500935762467674
CCDC64 0.0018248364090183429 0.001824836409018408 0.003649672818036751
PRKCD 0.0018221888551617237 0.001822188855161715 0.003644377710323439
ZMIZ1 0.001821285314576967 0.0018212853145770538 0.003642570629154021
CABP4 0.0018155192727156368 0.0018155192727157183 0.003631038545431355
MTRF1L 0.0018154152278921168 0.001815415227892114 0.0036308304557842305
SLC38A2 0.0018138810146136157 0.0018138810146135903 0.0036277620292272062
IARS 0.001807178708268315 0.0018071787082682659 0.0036143574165365807
TP53TG3B 0.0018034867901849927 0.0018034867901851094 0.003606973580370102
TMEM19 0.0017956502413549445 0.0017956502413551255 0.0035913004827100702
FCGR3A 0.0017904769277735677 0.0017904769277735486 0.0035809538555471162
WRNIP1 0.0017833464152320392 0.001783346415232092 0.0035666928304641313
SNORA1 0.0017816674162267165 0.0017816674162266805 0.003563334832453397
BTG2 0.0017712847435968405 0.001771284743596831 0.0035425694871936714
ORC2L 0.0017553400920170884 0.0017553400920171333 0.0035106801840342214
C12orf51 0.0017535953049938942 0.0017535953049938931 0.003507190609987787
PRL 0.0017473798169325115 0.0017473798169324775 0.003494759633864989
NQO2 0.0017431874518247076 0.001743187451824641 0.0034863749036493485
PPP2R5A 0.0017404077478579579 0.0017404077478580624 0.0034808154957160203
CHMP4C 0.0017357509831068744 0.001735750983106813 0.0034715019662136873
CCDC43 0.0017356335758062515 0.0017356335758062541 0.0034712671516125056
VAMP4 0.001734264207781598 0.0017342642077816273 0.0034685284155632256
RG9MTD2 0.001732063508745938 0.0017320635087459354 0.0034641270174918734
ESCO1 0.0017291661177796832 0.0017291661177795952 0.0034583322355592784
IKZF2 0.001726069011527151 0.0017260690115271104 0.003452138023054261
ZNF239 0.0017256672538229739 0.0017256672538229077 0.0034513345076458814
YIF1A 0.001723051082224529 0.0017230510822245093 0.003446102164449038
C4orf47 0.001722440463955859 0.0017224404639558863 0.0034448809279117453
ADIPOR1 0.0017202436504586461 0.001720243650458583 0.0034404873009172294
LOC401431 0.001719052740570453 0.0017190527405704329 0.003438105481140886
UAP1 0.0017184288455176645 0.0017184288455176985 0.0034368576910353632
SFRS16 0.0017169592786206284 0.0017169592786206254 0.003433918557241254
MIR641 0.0017162366845102444 0.0017162366845102257 0.00343247336902047
CRHR2 0.0017120725020249561 0.0017120725020250405 0.0034241450040499964
LTBP1 0.0017115144655432657 0.0017115144655432783 0.003423028931086544
C20orf29 0.0017100257844733149 0.001710025784473343 0.003420051568946658
LOC441869 0.0017095247526261639 0.00170952475262614 0.003419049505252304
EIF2S2 0.0017081468467273937 0.00170814684672744 0.0034162936934548334
PIK3C2B 0.0017079340422248874 0.001707934042224794 0.0034158680844496815
WDR4 0.0016985866197408912 0.0016985866197408602 0.003397173239481751
POLR2D 0.0016902886549086996 0.001690288654908704 0.0033805773098174036
