 G2 G3 sum
ZNF385B 0.00134226648390184 0.0013422664839018296 0.0026845329678036696
LIN52 0.001341456328440907 0.0013414563284408554 0.0026829126568817625
TC2N 0.0013406935646159022 0.0013406935646158161 0.0026813871292317186
SOX15 0.0013328312987719933 0.0013328312987718675 0.002665662597543861
RCCD1 0.0013303595953193035 0.0013303595953192333 0.002660719190638537
PSMB8 0.0013292783053312591 0.0013292783053312704 0.0026585566106625295
ACSL3 0.0013292686059870847 0.001329268605987162 0.0026585372119742466
KCNE4 0.001328104599555167 0.0013281045995551647 0.002656209199110332
MIER2 0.0013265614508647643 0.0013265614508647348 0.002653122901729499
BTAF1 0.0013246780573691074 0.00132467805736909 0.0026493561147381975
ARFGAP1 0.0013234902215426623 0.001323490221542709 0.0026469804430853715
RNF34 0.0013220977290918441 0.0013220977290918747 0.0026441954581837186
MIR654 0.0013196599729798915 0.0013196599729798555 0.002639319945959747
SNX24 0.0013183825052606741 0.0013183825052605009 0.002636765010521175
BAT1 0.0013165093126442644 0.001316509312644263 0.0026330186252885275
STAG3L4 0.001316388401928836 0.0013163884019288456 0.0026327768038576817
RAB9P1 0.0013158660148535183 0.0013158660148534593 0.0026317320297069777
PPP3R1 0.0013138421795876405 0.0013138421795876305 0.002627684359175271
C15orf51 0.0013131658099970332 0.0013131658099970489 0.002626331619994082
LASP1 0.001312716330461277 0.0013127163304613241 0.002625432660922601
MXD3 0.0013124701122193875 0.001312470112219403 0.0026249402244387906
PACSIN3 0.0013114375728123186 0.0013114375728123253 0.0026228751456246436
MEOX2 0.001308096123834336 0.0013080961238343153 0.002616192247668651
C1orf163 0.0012997758836135213 0.0012997758836134532 0.0025995517672269745
TBCD 0.0012989563925475847 0.0012989563925476112 0.002597912785095196
STIL 0.0012977313007388957 0.001297731300738898 0.0025954626014777936
UBASH3B 0.001291034117072371 0.0012910341170723808 0.002582068234144752
MANF 0.0012907465249524484 0.0012907465249524558 0.0025814930499049042
RALGAPB 0.001288563357862297 0.0012885633578623291 0.002577126715724626
FDX1 0.00128791939561399 0.0012879193956139901 0.0025758387912279803
DBF4B 0.0012806967675215715 0.00128069676752161 0.0025613935350431816
SNX27 0.0012800812731718042 0.0012800812731717994 0.0025601625463436035
ZNF232 0.001280027492137626 0.0012800274921375243 0.00256005498427515
FAM196A 0.0012791403072037399 0.0012791403072037531 0.002558280614407493
RHBDF1 0.001277332212725318 0.0012773322127253453 0.0025546644254506633
MYO15A 0.0012742908175908988 0.0012742908175908615 0.0025485816351817603
ZNF738 0.0012732050713538967 0.0012732050713539392 0.002546410142707836
FSD1 0.0012722700132104655 0.00127227001321043 0.0025445400264208955
IRF1 0.001271219161122445 0.0012712191611224432 0.002542438322244888
ACAT2 0.0012662259174865459 0.0012662259174864893 0.002532451834973035
C10orf28 0.0012660276089118054 0.0012660276089118626 0.002532055217823668
RNF138 0.001265113843285672 0.0012651138432856752 0.002530227686571347
C8orf38 0.0012634397200497736 0.0012634397200497899 0.0025268794400995637
TRMT1 0.0012627650959966372 0.0012627650959965995 0.0025255301919932366
GCH1 0.0012625562201720758 0.001262556220172051 0.002525112440344127
EFHA1 0.0012613410447748314 0.0012613410447748178 0.002522682089549649
ZKSCAN1 0.001260929170994943 0.0012609291709949851 0.002521858341989928
TBC1D13 0.0012602429305021904 0.0012602429305022178 0.0025204858610044082
HERC1 0.0012601214977531622 0.0012601214977531702 0.0025202429955063325
THRAP3 0.001259278575195772 0.0012592785751958148 0.0025185571503915866
TMEM55B 0.0012577171679009646 0.0012577171679009796 0.002515434335801944
IARS 0.0012575198909040332 0.0012575198909040434 0.0025150397818080768
FCGR3A 0.0012564950164952672 0.0012564950164952805 0.0025129900329905475
HBEGF 0.0012539658821827879 0.0012539658821828245 0.002507931764365612
CORO1C 0.0012537487664876401 0.001253748766487672 0.0025074975329753123
BCL3 0.001253106868915318 0.0012531068689153211 0.0025062137378306392
HGFAC 0.0012486176090946788 0.001248617609094706 0.0024972352181893845
NRCAM 0.001247571899961838 0.0012475718999618798 0.0024951437999237176
FAM91A1 0.0012469053093400668 0.00124690530934007 0.0024938106186801366
